1 2 3 4 5 6 7 8 9 10 
1 3 5 7 9 11 13 15 17 19 
1 4 7 10 13 16 19 22 25 28 
1 5 9 13 17 21 25 29 33 37 
1 6 11 16 21 26 31 36 41 46 
1 7 13 19 25 31 37 43 49 55 
1 8 15 22 29 36 43 50 57 64 
1 9 17 25 33 41 49 57 65 73 
1 10 19 28 37 46 55 64 73 82 
1 11 21 31 41 51 61 71 81 91 
1 12 23 34 45 56 67 78 89 100 
1 13 25 37 49 61 73 85 97 109 
1 14 27 40 53 66 79 92 105 118 
1 15 29 43 57 71 85 99 113 127 
1 16 31 46 61 76 91 106 121 136 
1 17 33 49 65 81 97 113 129 145 
1 18 35 52 69 86 103 120 137 154 
1 19 37 55 73 91 109 127 145 163 
1 20 39 58 77 96 115 134 153 172 
1 21 41 61 81 101 121 141 161 181 
1 22 43 64 85 106 127 148 169 190 
1 23 45 67 89 111 133 155 177 199 
1 24 47 70 93 116 139 162 185 208 
1 25 49 73 97 121 145 169 193 217 
1 26 51 76 101 126 151 176 201 226 
1 27 53 79 105 131 157 183 209 235 
1 28 55 82 109 136 163 190 217 244 
1 29 57 85 113 141 169 197 225 253 
1 30 59 88 117 146 175 204 233 262 
1 31 61 91 121 151 181 211 241 271 
1 32 63 94 125 156 187 218 249 280 
1 33 65 97 129 161 193 225 257 289 
1 34 67 100 133 166 199 232 265 298 
1 35 69 103 137 171 205 239 273 307 
1 36 71 106 141 176 211 246 281 316 
1 37 73 109 145 181 217 253 289 325 
1 38 75 112 149 186 223 260 297 334 
1 39 77 115 153 191 229 267 305 343 
1 40 79 118 157 196 235 274 313 352 
1 41 81 121 161 201 241 281 321 361 
