13
USA 1 ENGLAND 1
ENGLAND 1 SOUTHAFRICA 1
USA 1 IRAN 1
SOUTHAFRICA 1 IRAN 1
ENGLAND 1 IRAN 1
SOUTHAFRICA 1 USA 1
BRAZIL 3 SPAIN 1
IRAQ 5 FRANCE 2
FRANCE 1 BRAZIL 3
BRAZIL 3 IRAQ 0
SPAIN 2 IRAQ 2
SPAIN 4 FRANCE 4
SOUTHAFRICA 5 MEXICO 4
URAGUAY 3 FRANCE 0
SOUTHAFRICA 2 URAGUAY 2
FRANCE 0 MEXICO 2
MEXICO 0 URAGUAY 1
FRANCE 2 SOUTHAFRICA 4
ARGENTINA 1 NIGERIA 0
ENGLAND 1 SWEDEN 1
SWEDEN 2 NIGERIA 1
ARGENTINA 0 ENGLAND 1
SWEDEN 1 ARGENTINA 1
NIGERIA 0 ENGLAND 0
ITALY 5 SOUTHKOREA 4
ITALY 2 RUSSIA 0
SOUTHKOREA 2 RUSSIA 0
ITALY 1 IRAN 2
SOUTHKOREA 2 IRAN 1
IRAN 0 RUSSIA 0
ENGLAND 1 USA 1
ALGERIA 0 SLOVENIA 1
SLOVENIA 2 USA 2
ENGLAND 0 ALGERIA 0
SLOVENIA 0 ENGLAND 1
USA 1 ALGERIA 0
PARAGUAY 2 SOUTHAFRICA 2
SPAIN 3 SLOVENIA 1
SPAIN 3 PARAGUAY 1
SOUTHAFRICA 1 SLOVENIA 0
SOUTHAFRICA 2 SPAIN 3 
SLOVENIA 1 PARAGUAY 3
A 2 C 1
S 0 N 1
A 6 S 0
N 2 C 1
N 0 A 0
C 3 S 2
A 4 G 0
N 3 B 0
A 2 N 1
G 0 B 4
A 0 B 2
G 0 N 2
I 0 R 1
N 1 M 0
I 1 N 0
M 2 R 1
I 1 M 1
R 0 N 0
B 1 M 0
N 2 S 1
S 2 M 1
B 1 N 0
B 0 S 1
M 1 N 2
A 3 B 0
A 3 C 0
A 3 D 0
B 0 C 0
B 0 D 0
C 0 D 0
A 1 B 1
A 1 C 0
A 1 D 0
B 1 C 0
B 1 D 0
C 0 D 0
