10
6
two-dollar 200
dollar 100
quarter 25
dime 10
nickel 5
penny 1
337
7
aijika 13
uilika 11
quilika 7
yuilkia 5
dilkia 3
gilikia 2
tikki 1
14159
6
euro 100
pentuplepenny 5
quadruplepenny 4
triplepenny 3
doublepenny 2
penny 1
1027
5
A 5
B 4
C 3
D 2
E 1
15
1
A  1
56
5
A 439
B 342
C 120
D 50
E 1
1835
5
A 58000
B 48000
C 38000
D 700
E 200
58900
2
A 5
B 1010
2120
10
J 10
I 9
H 8
G 7
F 6
E 5
D 4
C 3
B 2
A 1
3564
21
A 1
B 2
C 4
D 8
E 16
F 32
G 64
H 128
I 256
J 512
K 1024
L 2048
M 4096
N 8192
O 16384
P 32768
Q 65536
R 131072
S 262144
T 524288
U 1048576
2047
