100 1000
1 7 43
1 32 42
1 5 35
0 9 39
1 66 90
0 1 32
1 38 48
0 32 75
1 28 41
1 77 94
0 10 11
0 1 10
1 6 60
0 33 64
1 16 100
1 26 67
0 6 38
0 53 71
1 16 57
1 32 75
0 32 50
1 35 50
0 57 96
1 44 96
0 24 42
1 3 19
1 83 86
0 2 56
0 21 81
0 75 81
0 50 75
1 61 79
1 31 71
1 19 75
0 47 75
1 12 42
1 11 86
0 38 83
1 5 25
1 13 32
0 29 48
1 6 29
1 48 88
0 12 68
0 17 27
1 12 67
1 4 80
0 62 76
0 12 98
1 36 87
1 44 83
1 67 67
1 17 67
0 5 59
1 15 23
0 20 87
0 27 82
0 17 47
0 4 78
1 33 76
0 41 81
0 29 40
0 36 58
1 37 48
1 31 95
0 13 61
0 9 28
0 56 99
1 30 71
1 6 31
1 52 100
0 74 80
1 18 56
1 65 85
1 70 92
1 63 97
1 27 99
1 62 86
0 62 76
1 25 79
1 30 66
0 28 86
1 56 98
1 49 96
0 67 98
1 76 84
0 18 42
0 1 22
1 2 54
1 20 71
0 18 39
0 17 78
0 2 73
1 37 80
1 18 82
1 13 48
1 3 21
1 17 63
0 3 99
1 24 61
0 69 89
1 21 47
1 73 73
0 25 38
1 1 31
1 36 61
1 49 49
0 15 91
1 14 20
0 59 99
0 35 98
1 2 26
0 38 75
0 16 99
1 46 48
0 16 91
1 62 91
0 1 30
1 97 97
1 24 86
1 37 98
1 16 69
1 35 46
0 32 72
1 26 96
1 11 56
0 38 57
0 35 47
0 31 68
1 88 97
1 25 48
1 81 83
1 41 61
1 20 75
1 59 78
1 55 67
0 44 100
0 82 90
0 3 55
1 69 95
1 61 79
0 26 97
0 43 85
1 28 58
1 58 99
1 28 86
1 3 29
1 24 30
0 32 96
0 27 60
0 41 86
1 66 84
0 30 75
0 46 93
1 18 41
0 21 64
0 15 67
1 1 32
0 67 97
0 60 91
1 6 36
1 54 64
0 30 81
0 3 24
0 17 97
0 12 100
1 29 55
0 47 59
0 74 74
0 7 22
0 74 95
1 21 91
1 3 75
1 56 56
1 81 81
1 53 97
1 3 79
1 33 71
0 6 31
0 2 89
1 8 9
0 35 45
1 63 79
0 15 33
1 36 54
1 60 60
1 52 66
1 26 76
0 31 48
1 16 37
0 27 95
1 8 89
0 21 100
1 6 67
1 53 69
1 66 70
1 5 15
1 1 90
0 18 63
0 62 78
0 14 43
0 24 71
0 3 68
0 35 55
1 32 41
0 15 17
0 10 25
0 29 72
1 14 29
1 29 40
0 9 34
0 48 53
0 51 82
1 73 80
1 46 85
1 51 86
1 8 11
0 47 62
0 39 100
1 29 76
0 21 75
1 35 68
1 23 47
0 78 82
0 3 94
1 34 98
1 16 37
1 24 76
0 68 88
0 3 21
1 37 58
0 45 66
0 8 53
0 74 98
0 68 92
0 28 42
0 26 42
0 61 84
0 16 94
1 13 43
1 17 88
0 4 83
0 24 77
1 30 50
0 73 78
1 70 83
1 31 75
0 53 77
0 9 33
1 41 79
1 63 81
1 44 97
0 3 54
0 18 42
1 44 57
0 23 76
0 41 48
0 5 78
1 4 7
1 14 70
1 87 94
1 25 76
0 16 76
0 31 43
0 39 55
0 39 66
0 37 64
0 59 76
1 3 89
0 13 19
1 85 88
0 36 94
0 48 98
0 39 71
0 51 90
0 22 60
0 59 85
1 3 64
0 15 30
1 34 53
0 1 13
1 72 80
0 49 61
1 10 44
1 75 78
1 1 66
1 25 65
1 7 76
0 18 67
1 28 64
0 94 96
1 52 81
1 16 61
1 29 79
0 4 97
1 27 89
1 20 59
1 31 47
1 24 84
1 11 68
0 55 72
1 37 69
0 5 7
1 49 70
1 69 77
1 45 72
0 7 33
1 37 97
1 48 68
0 70 84
0 39 94
1 1 77
1 4 85
0 2 91
1 13 45
0 37 46
1 18 28
1 9 20
1 75 95
0 66 100
0 10 81
0 19 67
0 36 65
1 59 82
1 70 96
1 38 65
1 28 58
0 94 95
0 92 94
0 10 52
0 50 50
1 75 95
0 23 73
0 39 86
0 42 78
1 44 76
1 56 73
1 49 95
0 22 25
1 72 74
0 48 50
1 44 57
1 20 85
0 11 68
1 56 64
0 67 73
0 34 65
0 24 30
1 18 55
0 19 34
0 17 71
1 42 50
1 93 99
1 15 16
0 27 37
1 85 89
0 33 90
1 40 67
0 38 49
1 2 42
1 24 32
1 11 63
1 19 40
0 39 48
1 25 80
1 33 96
1 2 34
1 23 84
0 43 93
0 20 69
1 29 41
1 36 94
1 34 83
1 21 36
0 3 84
0 39 49
1 83 89
0 29 86
1 72 77
0 78 97
1 17 63
1 16 52
1 77 93
1 47 51
1 48 93
1 40 63
0 12 89
0 42 45
1 12 99
0 11 61
0 49 53
1 41 45
1 37 79
1 32 36
1 14 61
0 34 71
0 12 12
0 13 57
0 18 47
1 63 67
1 34 46
1 28 60
0 43 67
1 7 14
1 29 85
1 53 83
0 72 83
1 19 33
0 70 90
0 38 99
1 2 20
1 50 98
0 50 80
0 25 55
0 67 73
0 6 34
0 40 46
1 26 68
0 26 46
1 59 68
0 51 81
1 10 40
0 73 93
1 11 77
0 3 75
0 11 73
0 46 78
0 9 52
1 8 78
1 4 67
1 8 12
0 27 78
1 89 90
0 15 82
1 38 76
1 35 81
0 45 62
1 44 49
1 11 52
1 13 68
1 63 72
1 53 76
0 42 99
0 10 62
1 72 83
1 5 68
1 68 85
0 41 93
0 17 17
1 5 42
1 74 82
1 9 76
1 14 26
0 83 93
1 11 95
0 18 70
1 38 66
1 72 80
1 71 73
0 10 24
0 59 98
0 29 32
0 63 79
0 12 32
0 24 90
0 23 47
1 78 86
0 10 77
1 6 24
1 9 77
1 18 48
1 29 35
0 58 76
0 60 65
1 25 60
1 48 73
0 10 34
1 29 35
0 31 90
1 75 96
1 47 50
0 20 71
0 19 74
0 22 70
1 19 61
1 42 91
0 72 87
1 62 65
1 64 92
0 20 41
0 1 23
1 27 71
1 22 24
1 75 100
1 72 95
0 65 93
1 4 39
1 11 15
1 22 50
1 52 92
1 10 30
1 12 49
0 65 70
0 66 79
0 2 63
0 67 86
0 9 41
1 86 93
0 42 55
1 83 98
0 8 89
1 46 57
0 62 64
0 67 80
0 6 45
1 23 52
0 22 78
1 3 60
1 7 32
1 5 54
1 70 89
0 79 96
1 44 44
0 61 95
0 7 100
0 20 33
1 37 87
1 61 98
1 5 33
0 17 98
1 25 53
0 42 83
1 40 71
0 8 65
0 37 37
0 11 40
0 62 75
0 10 12
0 5 78
0 37 83
1 5 59
0 6 63
0 82 90
0 44 95
0 42 89
1 48 100
0 65 72
1 44 78
0 36 40
0 28 94
0 55 74
0 75 87
0 35 76
0 47 59
1 50 72
1 2 55
1 84 90
1 12 85
0 4 30
0 65 90
0 7 38
0 4 76
0 27 77
0 25 28
0 44 67
1 88 94
1 2 87
1 35 91
1 27 50
1 15 84
0 56 77
1 70 75
0 76 94
1 9 37
1 16 73
1 52 69
1 35 55
